平水韻,廣韻,平水韻,廣韻,平水韻,廣韻,平水韻,廣韻
東,東,董,董,送,送,屋,屋
冬,冬,腫,湩,宋,宋,沃,沃
冬,鍾,腫,腫,宋,用,沃,燭
江,江,講,講,絳,絳,覺,覺
支,支,紙,紙,寘,寘,,
支,脂,紙,旨,寘,至,,
支,之,紙,止,寘,志,,
微,微,尾,尾,未,未,,
魚,魚,語,語,御,御,,
虞,虞,麌,麌,遇,遇,,
虞,模,麌,姥,遇,暮,,
齊,齊,薺,薺,霽,霽,,
,,,,霽,祭,,
,,,,泰,泰,,
佳,佳,蟹,蟹,卦,卦,,
佳,皆,蟹,駭,卦,怪,,
,,,,卦,夬,,
灰,灰,賄,賄,隊,隊,,
灰,咍,賄,海,隊,代,,
,,,,隊,廢,,
真,真,軫,軫,震,震,質,質
真,諄,軫,準,震,稕,質,術
真,臻,軫,𧤛 ,震,櫬 ,質,櫛
文,文,吻,吻,問,問,物,物
文,欣,吻,隱,問,焮,物,迄
元,元,阮,阮,願,願,月,月
元,魂,阮,混,願,慁,月,沒
元,痕,阮,很,願,恨,月,麧 
寒,寒,旱,旱,翰,翰,曷,曷
寒,桓,旱,緩,翰,換,曷,末
刪,刪,潸,潸,諌,諌,黠,黠
刪,山,潸,產,諌,襉,黠,鎋
先,先,銑,銑,霰,霰,屑,屑
先,仙,銑,獮,霰,線,屑,薛
蕭,蕭,篠,篠,嘯,嘯,,
蕭,宵,篠,小,嘯,笑,,
肴,肴,巧,巧,效,效,,
豪,豪,皓,皓,號,號,,
歌,歌,哿,哿,箇,箇,,
歌,戈,哿,果,箇,過,,
麻,麻,馬,馬,禡,禡,,
陽,陽,養,養,漾,漾,薬,薬
陽,唐,養,蕩,漾,宕,薬,鐸
庚,庚,梗,梗,敬,映,陌,陌
庚,耕,梗,耿,敬,諍,陌,麥
庚,清,梗,靜,敬,勁,陌,昔
青,青,迥,迥,徑,徑,錫,錫
蒸,蒸,迥,拯,徑,證,職,職
蒸,登,迥,等,徑,嶝,職,德
尤,尤,有,有,宥,宥,,
尤,侯,有,厚,宥,候,,
尤,幽,有,黝,宥,幼,,
侵,侵,寝,寝,沁,沁,緝,緝
覃,覃,感,感,勘,勘,合,合
覃,談,感,敢,勘,鬫,合,盍
鹽,鹽,琰,琰,豔,豔,葉,葉
鹽,添,琰,忝,豔,㮇,葉,怗
咸,咸,琰,儼,豔,釅,洽,洽
咸,銜,豏,豏,陥,陥,洽,狎
咸,嚴,豏,檻,陥,鑑,洽,業
咸,凡,豏,梵,陥,范,洽,乏
